super_opeid,name,par_income_bin,par_income_lab,attend,stderr_attend,attend_level,attend_sat,stderr_attend_sat,attend_level_sat,rel_apply,stderr_rel_apply,rel_attend,stderr_rel_attend,rel_att_cond_app,rel_apply_sat,stderr_rel_apply_sat,rel_attend_sat,stderr_rel_attend_sat,rel_att_cond_app_sat,attend_instate,stderr_attend_instate,attend_level_instate,attend_instate_sat,stderr_attend_instate_sat,attend_level_instate_sat,attend_oostate,stderr_attend_oostate,attend_level_oostate,attend_oostate_sat,stderr_attend_oostate_sat,attend_level_oostate_sat,rel_apply_instate,stderr_rel_apply_instate,rel_attend_instate,stderr_rel_attend_instate,rel_att_cond_app_instate,rel_apply_oostate,stderr_rel_apply_oostate,rel_attend_oostate,stderr_rel_attend_oostate,rel_att_cond_app_oostate,rel_apply_instate_sat,stderr_rel_apply_instate_sat,rel_attend_instate_sat,stderr_rel_attend_instate_sat,rel_att_cond_app_instate_sat,rel_apply_oostate_sat,stderr_rel_apply_oostate_sat,rel_attend_oostate_sat,stderr_rel_attend_oostate_sat,rel_att_cond_app_oostate_sat,attend_unwgt,stderr_attend_unwgt,attend_unwgt_level,attend_unwgt_instate,stderr_attend_unwgt_instate,attend_unwgt_oostate,stderr_attend_unwgt_oostate,attend_unwgt_level_instate,attend_unwgt_level_oostate,rel_attend_unwgt,rel_apply_unwgt,stderr_rel_attend_unwgt,stderr_rel_apply_unwgt,rel_att_cond_app_unwgt,rel_attend_unwgt_instate,rel_attend_unwgt_oostate,stderr_rel_attend_unwgt_instate,stderr_rel_attend_unwgt_oostate,rel_apply_unwgt_instate,rel_apply_unwgt_oostate,stderr_rel_apply_unwgt_instate,stderr_rel_apply_unwgt_oostate,rel_att_cond_app_unwgt_instate,rel_att_cond_app_unwgt_oostate,public,flagship,tier,tier_name,test_band_tier
1108,University Of Arkansas,96.5,96-97,0.007029062,0.000320166,0.003703946,0.007202319,0.000679325,0.003550293,1.3947721,0.038679656,1.8977227,0.086439259,1.360597,1.4768814,0.087291814,2.0286553,0.19134335,1.3736075,0.35129574,0.021289462,0.18086752,0.42882967,0.048901804,0.1524827,0.004103125,0.000239224,0.001530705,0.004477956,0.000540843,0.001755574,1.2375801,0.041068956,1.9422821,0.11770749,1.5694194,2.0477798,0.067028351,2.6805463,0.15628338,1.3090012,1.3769342,0.098267898,2.8123169,0.32070395,2.0424483,2.1089561,0.14355128,2.5507071,0.30807155,1.2094643,0.005002141,0.000205318,0.001981734,0.32124153,0.018114578,0.003257434,0.000165726,0.10213852,0.000947856,2.5241232,1.7944831,0.10360542,0.043952409,1.4066018,3.1451554,3.4366324,0.17735305,0.17484324,1.700279,2.6272111,0.053041257,0.074134216,1.8497878,1.3080914,Public,1,Selective public,Selective public,Flagship
1108,University Of Arkansas,97.5,97-98,0.006872868,0.000317116,0.003703946,0.007521841,0.000705962,0.003550293,1.3142269,0.037340824,1.8555532,0.085615605,1.4118972,1.5824378,0.090497211,2.118654,0.19884618,1.3388546,0.32559353,0.020942042,0.18086752,0.42761698,0.052103765,0.1524827,0.004048402,0.000239292,0.001530705,0.005283568,0.000585434,0.001755574,1.251135,0.044233058,1.8001769,0.11578663,1.438835,1.9340845,0.064634494,2.6447961,0.15632808,1.3674667,1.506911,0.097770326,2.804364,0.34170279,1.8610017,2.2948942,0.15075733,3.0095952,0.33347157,1.3114309,0.004752935,0.000198539,0.001981734,0.32186544,0.018910969,0.003136519,0.000161486,0.10213852,0.000947856,2.3983719,1.6924883,0.10018438,0.042532325,1.4170685,3.151264,3.3090661,0.18515022,0.17036977,1.7171403,2.4990175,0.055466171,0.072020799,1.8351814,1.3241469,Public,1,Selective public,Selective public,Flagship
1108,University Of Arkansas,98.5,98-99,0.006828534,0.000322552,0.003703946,0.006973875,0.000669013,0.003550293,1.3473189,0.038675513,1.8435838,0.087083377,1.3683351,1.5258285,0.090181373,1.9643099,0.18843891,1.2873727,0.33309224,0.021255042,0.18086752,0.28965321,0.046426509,0.1524827,0.004117168,0.000248887,0.001530705,0.004997176,0.000574024,0.001755574,1.2140803,0.045765728,1.8416365,0.11751719,1.5168984,2.0307841,0.068107836,2.6897202,0.16259615,1.3244737,1.4284064,0.10101403,1.8995807,0.30447066,1.3298602,2.1992061,0.14911769,2.8464622,0.32697228,1.2943135,0.004530562,0.000193396,0.001981734,0.33151785,0.019442204,0.002923416,0.000155742,0.10213852,0.000947856,2.2861605,1.6771561,0.097589232,0.04233006,1.3631173,3.2457671,3.08424,0.19035134,0.16430975,1.7515837,2.4861391,0.056723293,0.071841158,1.8530471,1.2405742,Public,1,Selective public,Selective public,Flagship
1108,University Of Arkansas,99.400002,99-99.9,0.006179473,0.000338357,0.003703946,,,0.003550293,1.1440423,0.038682941,1.6683488,0.091350488,1.458293,,,,,,,,0.18086752,,,0.1524827,,,0.001530705,,,0.001755574,,,,,,,,,,,,,,,,,,,,,0.003741703,0.000185065,0.001981734,,,,,0.10213852,0.000947856,1.8880954,1.3940945,0.093385406,0.040749501,1.3543526,,,,,,,,,,,Public,1,Selective public,Selective public,Flagship
1108,University Of Arkansas,99.5,Top 1,0.005819906,0.000313382,0.003703946,0.006571367,0.000669465,0.003550293,1.1097869,0.036389019,1.571272,0.084607594,1.4158323,1.2713439,0.086732194,1.8509368,0.18856628,1.4558898,0.35295734,0.023249179,0.18086752,0.42108503,0.052844144,0.1524827,0.002990663,0.000218207,0.001530705,0.003632743,0.000516468,0.001755574,1.1816149,0.048279282,1.9514688,0.12854259,1.6515269,1.5923947,0.061686303,1.9537815,0.14255315,1.2269455,1.3234953,0.11111023,2.7615266,0.34655827,2.0865405,1.817181,0.14153221,2.069262,0.29418737,1.138721,0.003514259,0.000170521,0.001981734,0.3480725,0.020947969,0.002018715,0.000129707,0.10213852,0.000947856,1.7733254,1.3422362,0.08604636,0.037937924,1.3211725,3.4078474,2.1297693,0.20509371,0.13684252,1.7032158,1.941111,0.061228428,0.063509539,2.0008311,1.097191,Public,1,Selective public,Selective public,Flagship
1108,University Of Arkansas,100,Top 0.1,0.0022363,0.000603768,0.003703946,,,0.003550293,0.77819365,0.10199638,0.60376167,0.1630068,0.77585018,,,,,,,,0.18086752,,,0.1524827,,,0.001530705,,,0.001755574,,,,,,,,,,,,,,,,,,,,,0.001586412,0.000356704,0.001981734,,,,,0.10213852,0.000947856,0.80051696,0.84889412,0.17999606,0.095991857,0.94301158,,,,,,,,,,,Public,1,Selective public,Selective public,Flagship
1312,"University Of California, Berkeley",10,0-20,0.018868146,0.001284246,0.015612977,0.004203461,0.00045609,0.002762829,1.1948754,0.031063268,1.2084913,0.082255043,1.0113953,1.4232126,0.050353587,1.5214338,0.16508083,1.0690137,0.073819995,0.004806184,0.076527841,0.032730158,0.003599556,0.025980458,0.004174986,0.000817043,0.003815342,9.93674E-05,0.000112248,0.000352866,0.99412274,0.022736631,0.96461618,0.062803082,0.97031897,1.0325173,0.052509975,1.0942625,0.21414663,1.0598006,1.1518012,0.043699291,1.2597991,0.13854861,1.0937643,1.4060773,0.086847655,0.28160051,0.31810251,0.20027384,0.001466346,4.74595E-05,0.002278462,0.011922382,0.000399566,0.000126077,1.47268E-05,0.018574473,0.000402972,0.64356822,0.72923154,0.020829644,0.007542871,0.88252932,0.64186919,0.31286657,0.021511547,0.036545321,0.75256157,0.51124442,0.008469341,0.011155986,0.85291255,0.6119706,Public,1,Highly selective public,Highly selective public,Flagship
1312,"University Of California, Berkeley",30,20-40,0.01747841,0.001003446,0.015612977,0.004694099,0.000381121,0.002762829,1.1263541,0.024056835,1.1194797,0.064270027,0.99389672,1.3821758,0.038934108,1.6990191,0.13794601,1.2292352,0.077959307,0.004077359,0.076527841,0.037878476,0.003237561,0.025980458,0.002703261,0.00045104,0.003815342,0.000603184,0.000147444,0.000352866,1.0252275,0.018357445,1.0187051,0.053279415,0.9936381,1.0074065,0.041268244,0.70852375,0.11821747,0.70331466,1.2572975,0.037753675,1.4579604,0.12461524,1.1595986,1.2537822,0.064310931,1.7093835,0.41784668,1.3633816,0.001423494,3.96244E-05,0.002278462,0.012097961,0.000350505,0.000137227,1.30366E-05,0.018574473,0.000402972,0.62476104,0.74563307,0.017390834,0.006459589,0.83789343,0.65132195,0.34053653,0.018870275,0.032351181,0.80213106,0.54552674,0.007597018,0.009701896,0.81198943,0.62423438,Public,1,Highly selective public,Highly selective public,Flagship
1312,"University Of California, Berkeley",50,40-60,0.016157718,0.000700827,0.015612977,0.002872881,0.000220706,0.002762829,1.0181015,0.016681096,1.0348903,0.044887446,1.0164903,1.027171,0.024081195,1.0398332,0.079883926,1.0123272,0.078520685,0.003082689,0.076527841,0.031533688,0.002345424,0.025980458,0.003036533,0.000367516,0.003815342,0.000161342,5.85949E-05,0.000352866,1.0107652,0.013898469,1.0260408,0.040281929,1.0151129,0.93256414,0.027992636,0.79587424,0.09632577,0.85342574,1.0815357,0.028051414,1.2137464,0.090276457,1.1222435,1.0092586,0.040915851,0.45723173,0.16605392,0.45303723,0.00155237,3.62593E-05,0.002278462,0.013311007,0.000324966,0.000163981,1.24114E-05,0.018574473,0.000402972,0.68132383,0.76914823,0.015913952,0.005747424,0.88581604,0.71662909,0.40692985,0.017495325,0.030799553,0.81333411,0.62827152,0.006767048,0.009119909,0.88110048,0.64769745,Public,1,Highly selective public,Highly selective public,Flagship
1312,"University Of California, Berkeley",65,60-70,0.014030129,0.000718604,0.015612977,0.002337608,0.000198761,0.002762829,0.86771882,0.016553968,0.89861971,0.046026044,1.0356116,0.81131178,0.02364311,0.8460921,0.071940951,1.0428692,0.076909035,0.003696818,0.076527841,0.023686996,0.002336194,0.025980458,0.002886322,0.000383007,0.003815342,0.000135685,5.22889E-05,0.000352866,0.96338826,0.016141834,1.0049812,0.048306838,1.0431736,0.8158651,0.027252709,0.75650394,0.10038593,0.92724144,0.90821064,0.030398054,0.91172355,0.089921199,1.003868,0.85274667,0.041237853,0.38452333,0.14818327,0.45092329,0.0014366,4.42216E-05,0.002278462,0.013523521,0.0004426,0.000196678,1.72707E-05,0.018574473,0.000402972,0.63051313,0.72002274,0.019408533,0.00706587,0.87568504,0.72807026,0.48806813,0.023828382,0.042858191,0.82827944,0.65488565,0.009264602,0.011730175,0.87901527,0.74527228,Public,1,Highly selective public,Highly selective public,Flagship
